"lineage"	"sel_coeff"	"low_CI"	"high_CI"	"size"	"region"	"Highlight"	"reference"
"BA.2.86*"	0.05682958	0.04793	0.06573	2492	"Alberta"	0	"HV.1"
"JN.1.6"	0.05454577	0.0395	0.06959	41	"Canada"	0	"HV.1*"
"JN.1.1"	0.05447352	0.01235	0.0966	16	"Nova Scotia"	0	"HV.1*"
"BA.2.86.1"	0.05395194	0.01611	0.09179	11	"New Brunswick"	0	"HV.1*"
"JN.1.1*"	0.053706	0.04286	0.06456	260	"British Columbia"	0	"HV.1"
"JN.1.1"	0.05324197	0.04239	0.06409	257	"British Columbia"	0	"HV.1*"
"JN.1.6*"	0.05300696	0.03813	0.06788	42	"Canada"	0	"HV.1"
"JN.1.11"	0.05283575	0.03053	0.07515	17	"British Columbia"	0	"HV.1*"
"JN.2*"	0.05263602	0.04619	0.05909	665	"Canada"	0	"HV.1"
"JG.3.2"	0.05250754	0.03844	0.06658	125	"Alberta"	0	"HV.1*"
"JN.1.8"	0.05040555	0.03326	0.06755	43	"Ontario"	0	"HV.1*"
"JN.1.2"	0.04969956	0.01579	0.08361	16	"Nova Scotia"	0	"HV.1*"
"FL*"	0.04943531	0.01718	0.08169	12	"Nova Scotia"	0	"HV.1"
"JN.1.2"	0.04856214	0.0013	0.09583	12	"Quebec"	0	"HV.1*"
"JN.1.5"	0.04833873	0.0322	0.06447	36	"British Columbia"	0	"HV.1*"
"JN.1.22"	0.04775868	0.0131	0.08241	32	"Nova Scotia"	0	"HV.1*"
"HK.19"	0.04720915	0.02358	0.07083	13	"British Columbia"	0	"HV.1*"
"BA.2.86.1"	0.04669609	0.03693	0.05646	127	"Canada"	0	"HV.1*"
"FL.1.5*"	0.0463213	0.01457	0.07807	11	"Nova Scotia"	0	"HV.1"
"DV.7.1.4"	0.0457103	0.01233	0.07909	16	"Ontario"	0	"HV.1*"
"JN.1.3"	0.04515444	0.02683	0.06348	21	"Canada"	0	"HV.1*"
"FL.1.5.1"	0.04460334	0.02878	0.06042	23	"Canada"	0	"HV.1*"
"JN.1.2"	0.04346674	0.03703	0.0499	644	"Canada"	0	"HV.1*"
"DV.7.1*"	0.04308166	0.01227	0.07389	20	"Ontario"	0	"HV.1"
"CH.1.1*"	0.04308166	0.01227	0.07389	20	"Ontario"	0	"HV.1"
"JG.3*"	0.04247369	0.02993	0.05502	169	"Alberta"	0	"HV.1"
"JG*"	0.04247369	0.02993	0.05502	169	"Alberta"	0	"HV.1"
"JN.2.5"	0.04213526	0.0322	0.05207	373	"British Columbia"	0	"HV.1*"
"JN.1.22"	0.04200599	0.02837	0.05564	77	"British Columbia"	0	"HV.1*"
"HV.1.5"	0.04178145	0.0155	0.06806	30	"Ontario"	0	"HV.1*"
"JN.1.15"	0.04173007	0.0194	0.06406	13	"Canada"	0	"HV.1*"
"JN.1.2"	0.04141975	0.01969	0.06315	25	"Alberta"	0	"HV.1*"
