"lineage"	"sel_coeff"	"low_CI"	"high_CI"	"size"	"region"	"Highlight"	"lineType"	"reference"
"XEC.9"	0.01341997	0	0.03632	11	"Nova Scotia"	0	"dashed"	"XEC"
"XEK.1"	0.01340515	0	0.03548	11	"Ontario"	0	"dashed"	"XEC"
"MC.10.1"	0.01334298	0.0072	0.01949	156	"Ontario"	0	"dashed"	"XEC"
"NB.1*"	0.01326143	0	0.02848	19	"Canada"	0	"dashed"	"XEC*"
"XEK"	0.0132308	0.0058	0.02066	83	"Canada"	0	"dashed"	"XEC"
"XEC.2.1"	0.01294681	0.00337	0.02253	49	"Canada"	0	"dashed"	"XEC"
"KS.1*"	0.01251959	0.00203	0.02301	41	"Canada"	0	"dashed"	"XEC*"
"MC.10.1"	0.0124089	0.00776	0.01706	222	"Canada"	0	"dashed"	"XEC"
"XEK.1.1"	0.01236993	0.00631	0.01843	128	"Canada"	0	"dashed"	"XEC"
"XEC.8*"	0.01198882	0.0069	0.01708	233	"Ontario"	0	"dashed"	"XEC*"
"KS.1*"	0.01186325	0	0.02445	35	"Ontario"	0	"dashed"	"XEC*"
"KS.1.1*"	0.01186325	0	0.02445	35	"Ontario"	0	"dashed"	"XEC*"
"MC.13.1"	0.01181297	0	0.02755	22	"Ontario"	0	"dashed"	"XEC"
"NY.1"	0.0118062	0.00329	0.02033	58	"Alberta"	0	"dashed"	"XEC"
"MC.1.1"	0.01159192	0.00179	0.02139	47	"Canada"	0	"dashed"	"XEC"
"XEC.11"	0.01157148	0.00053	0.02261	37	"Canada"	0	"dashed"	"XEC"
"KS.1.1*"	0.01155067	0.00076	0.02234	39	"Canada"	0	"dashed"	"XEC*"
"LP.8.1.1"	0.0112825	0	0.02383	35	"British Columbia"	0	"dashed"	"XEC"
"MC.1.2"	0.01120329	0.00464	0.01777	140	"Ontario"	0	"dashed"	"XEC"
"LP.8.1"	0.01103602	0.00542	0.01665	151	"Alberta"	0	"dashed"	"XEC"
"XEC.8*"	0.0109352	0.00664	0.01523	271	"Canada"	0	"dashed"	"XEC*"
"XEC.2"	0.01078619	0	0.02585	23	"Quebec"	0	"dashed"	"XEC"
"MC.10.1*"	0.01036523	0.00123	0.0195	47	"Alberta"	0	"dashed"	"XEC*"
"MC.13.2.1"	0.01015981	0	0.02177	34	"Canada"	0	"dashed"	"XEC"
"NY.1"	0.01008788	0.00227	0.0179	76	"Canada"	0	"dashed"	"XEC"
"XEC.4*"	0.00973078	0.00416	0.0153	161	"Canada"	0	"dashed"	"XEC*"
"XEK.1*"	0.00950473	0.00265	0.01636	128	"Ontario"	0	"dashed"	"XEC*"
"NL.4*"	0.00948441	0	0.01972	44	"Canada"	0	"dashed"	"XEC*"
"NL.4.1*"	0.00928116	0	0.01987	41	"Canada"	0	"dashed"	"XEC*"
"XEC.2"	0.00919896	0.0052	0.0132	331	"Canada"	0	"dashed"	"XEC"
"MC.10.1"	0.00913492	0	0.02796	11	"Alberta"	0	"dashed"	"XEC"
"XEK.1.1"	0.00907961	0.00195	0.01621	117	"Ontario"	0	"dashed"	"XEC"
"MC.1.2"	0.0090772	0	0.02496	35	"Nova Scotia"	0	"dashed"	"XEC"
"MC.26"	0.00854127	0	0.02101	30	"Canada"	0	"dashed"	"XEC"
"LF.7*"	0.00835671	0	0.02439	21	"British Columbia"	0	"dashed"	"XEC*"
"LF*"	0.00835671	0	0.02439	21	"British Columbia"	0	"dashed"	"XEC*"
"MC.10*"	0.00834766	0.00571	0.01099	860	"Canada"	0	"dashed"	"XEC*"
"XEC.9"	0.00812633	0	0.02092	26	"Alberta"	0	"dashed"	"XEC"
"JN.1.16*"	0.00805129	0	0.02284	25	"British Columbia"	0	"dashed"	"XEC*"
"XEC.2"	0.00768453	0.0023	0.01306	227	"Ontario"	0	"dashed"	"XEC"
"NP*"	0.00765003	0.00336	0.01194	361	"Ontario"	0	"dashed"	"XEC*"
"MC.10.1.2"	0.00742823	0	0.02928	11	"British Columbia"	0	"dashed"	"XEC"
"MC.10*"	0.00728608	0	0.01669	69	"British Columbia"	0	"dashed"	"XEC*"
"XEC.2*"	0.00727788	0	0.01969	35	"Quebec"	0	"dashed"	"XEC*"
"KP.3.3*"	0.00713019	0.0031	0.01116	425	"Ontario"	0	"dashed"	"XEC*"
"LF.7.3*"	0.00711309	0	0.02323	18	"Canada"	0	"dashed"	"XEC*"
"XEC.6"	0.00695473	0	0.02098	24	"Canada"	0	"dashed"	"XEC"
"LF.7.1*"	0.00690754	0	0.01497	74	"Canada"	0	"dashed"	"XEC*"
"XEC.2*"	0.00677144	0	0.01974	34	"British Columbia"	0	"dashed"	"XEC*"
"MC.13.1"	0.00635664	0	0.019	30	"Canada"	0	"dashed"	"XEC"
"MC.10*"	0.00627219	0	0.01532	55	"Alberta"	0	"dashed"	"XEC*"
"XEC.4*"	0.00622082	0	0.01291	142	"Ontario"	0	"dashed"	"XEC*"
"KP.3.3.2"	0.00598456	0	0.01958	25	"Alberta"	0	"dashed"	"XEC"
"NF*"	0.00588695	0	0.02137	23	"Ontario"	0	"dashed"	"XEC*"
"MC.10*"	0.00550672	0.00185	0.00917	553	"Ontario"	0	"dashed"	"XEC*"
"MC.10.1.1"	0.00534831	0	0.01789	31	"Canada"	0	"dashed"	"XEC"
"LB.1.3.1"	0.00502979	0	0.01549	53	"Ontario"	0	"dashed"	"XEC"
"MC.13.2*"	0.0050286	0	0.02027	24	"Ontario"	0	"dashed"	"XEC*"
"XEC.11*"	0.00475585	0	0.01093	134	"Canada"	0	"dashed"	"XEC*"
"KP.3.3*"	0.00463235	0.00153	0.00773	614	"Canada"	0	"dashed"	"XEC*"
"XEC.9"	0.00447174	0.00079	0.00816	426	"Canada"	0	"dashed"	"XEC"
"JN.1.16*"	0.00446888	0	0.02014	17	"New Brunswick"	0	"dashed"	"XEC*"
"LB.1.3.1"	0.00437964	0	0.01205	86	"Canada"	0	"dashed"	"XEC"
"NP*"	0.00420057	0.00087	0.00753	523	"Canada"	0	"dashed"	"XEC*"
"LF.7"	0.00413889	0	0.02222	15	"Canada"	0	"dashed"	"XEC"
"NL*"	0.00396235	0	0.00881	223	"Canada"	0	"dashed"	"XEC*"
"LB.1.3*"	0.00392615	0	0.00877	224	"Canada"	0	"dashed"	"XEC*"
"MC.10.1.5"	0.00387736	0	0.02207	15	"Canada"	0	"dashed"	"XEC"
"MC.10.1*"	0.00385544	0	0.01424	55	"Quebec"	0	"dashed"	"XEC*"
"MC.10*"	0.00376858	0	0.01385	59	"Quebec"	0	"dashed"	"XEC*"
"XEC.8.1"	0.00355156	0	0.01101	92	"Canada"	0	"dashed"	"XEC"
"MC.31"	0.00351073	0	0.00906	170	"Canada"	0	"dashed"	"XEC"
"XEC.9"	0.00348692	0	0.00833	296	"Ontario"	0	"dashed"	"XEC"
"MC.13*"	0.00339673	0	0.02211	14	"Alberta"	0	"dashed"	"XEC*"
"XEC.4"	0.00327187	0	0.01016	111	"Canada"	0	"dashed"	"XEC"
"MC.13.2*"	0.00325998	0	0.01292	54	"Canada"	0	"dashed"	"XEC*"
"LF.7.2.1"	0.00290875	0	0.02265	13	"Quebec"	0	"dashed"	"XEC"
"LF.7.2*"	0.00290875	0	0.02265	13	"Quebec"	0	"dashed"	"XEC*"
"PC*"	0.00290875	0	0.02265	13	"Quebec"	0	"dashed"	"XEC*"
"XEC.11*"	0.00260924	0	0.01608	30	"Quebec"	0	"dashed"	"XEC*"
"XEK"	0.00230776	0	0.01986	19	"British Columbia"	0	"dashed"	"XEC"
"LP.8.1.8"	0.0021026	0	0.01565	28	"Canada"	0	"dashed"	"XEC"
"XEC.11.1*"	0.00197158	0	0.00933	97	"Canada"	0	"dashed"	"XEC*"
"LB.1*"	0.00193711	0	0.01472	32	"Alberta"	0	"dashed"	"XEC*"
"LP.8.1"	0.00191336	0	0.01615	30	"British Columbia"	0	"dashed"	"XEC"
"XEK*"	0.00186659	0	0.00601	330	"Canada"	0	"dashed"	"XEC*"
"LF.7.1"	0.00183197	0	0.01143	56	"Canada"	0	"dashed"	"XEC"
"XEC.1"	0.00158881	0	0.0107	62	"Canada"	0	"dashed"	"XEC"
"XEC.11"	0.00125939	0	0.01498	29	"Quebec"	0	"dashed"	"XEC"
"LB.1*"	0.0011829	0	0.00595	241	"Canada"	0	"dashed"	"XEC*"
"XEC.11.1"	0.0011667	0	0.00865	95	"Canada"	0	"dashed"	"XEC"
"KP*"	0.00113129	0	0.0044	1029	"Alberta"	0	"dashed"	"XEC*"
"MC.10.1.2"	0.00100736	0	0.01356	37	"Ontario"	0	"dashed"	"XEC"
"XEC.8"	0.00100122	0	0.02234	13	"British Columbia"	0	"dashed"	"XEC"
"XEF"	0.00098833	0	0.01514	26	"Canada"	0	"dashed"	"XEC"
"MC.1.1"	0.00092058	0	0.02031	15	"Nova Scotia"	0	"dashed"	"XEC"
"NP.1"	0.00088193	0	0.00575	281	"Ontario"	0	"dashed"	"XEC"
"MC.10.2*"	0.00083577	0	0.00702	140	"Canada"	0	"dashed"	"XEC*"
"MC.10.2*"	0.00081051	0	0.01572	40	"Nova Scotia"	0	"dashed"	"XEC*"
"NL*"	0.00076538	0	0.00724	149	"Ontario"	0	"dashed"	"XEC*"
"LB.1.3*"	0.00076538	0	0.00724	149	"Ontario"	0	"dashed"	"XEC*"
"LF.7.1*"	0.00070543	0	0.01212	45	"Ontario"	0	"dashed"	"XEC*"
"XEC.4"	0.00064621	0	0.00849	103	"Ontario"	0	"dashed"	"XEC"
"KP*"	0.00063781	0	0.0028	4357	"Ontario"	0	"dashed"	"XEC*"
"MC.1.2"	0.00046777	0	0.00828	130	"Quebec"	0	"dashed"	"XEC"
"KP.3.3"	0.00037854	0	0.02238	11	"Canada"	0	"dashed"	"XEC"
"MC.10.2"	0.0002632	0	0.01515	38	"Nova Scotia"	0	"dashed"	"XEC"
"LP.8.1.8"	0.00017917	0	0.015	27	"Ontario"	0	"dashed"	"XEC"
"KP*"	0.00017486	0	0.00167	7320	"Canada"	0	"dashed"	"XEC*"
"XEC.8.1"	0.00007024	0	0.00848	86	"Ontario"	0	"dashed"	"XEC"
