"Date"	"Lineage"	"Frequency"	"% Frequency"
2022-12-19	"XBB.2"	6	"3%"
2022-12-26	"BA.2"	0	"0%"
2022-12-26	"BA.2.12.1"	0	"0%"
2022-12-26	"BA.2.3.20"	2	"1%"
2022-12-26	"BA.2.75"	0	"0%"
2022-12-26	"BA.2.75.2"	1	"0%"
2022-12-26	"BN.1"	23	"10%"
2022-12-26	"BN.1.3"	5	"2%"
2022-12-26	"BN.1.3.1"	7	"3%"
2022-12-26	"CH.1.1"	22	"10%"
2022-12-26	"CM.2"	3	"1%"
2022-12-26	"CM.8.1"	3	"1%"
2022-12-26	"other lineages"	42	"19%"
2022-12-26	"XBB.1"	38	"17%"
2022-12-26	"XBB.1.5"	73	"32%"
2022-12-26	"XBB.2"	8	"4%"
2023-01-02	"BA.2"	1	"0%"
2023-01-02	"BA.2.12.1"	0	"0%"
2023-01-02	"BA.2.3.20"	3	"1%"
2023-01-02	"BA.2.75"	0	"0%"
2023-01-02	"BA.2.75.2"	0	"0%"
2023-01-02	"BN.1"	10	"4%"
2023-01-02	"BN.1.3"	7	"3%"
2023-01-02	"BN.1.3.1"	8	"3%"
2023-01-02	"CH.1.1"	28	"10%"
2023-01-02	"CM.2"	3	"1%"
2023-01-02	"CM.8.1"	7	"3%"
2023-01-02	"other lineages"	54	"19%"
2023-01-02	"XBB.1"	38	"14%"
2023-01-02	"XBB.1.5"	116	"42%"
2023-01-02	"XBB.2"	3	"1%"
2023-01-09	"BA.2"	0	"0%"
2023-01-09	"BA.2.12.1"	0	"0%"
2023-01-09	"BA.2.3.20"	18	"4%"
2023-01-09	"BA.2.75"	0	"0%"
2023-01-09	"BA.2.75.2"	0	"0%"
2023-01-09	"BN.1"	9	"2%"
2023-01-09	"BN.1.3"	3	"1%"
2023-01-09	"BN.1.3.1"	5	"1%"
2023-01-09	"CH.1.1"	36	"9%"
2023-01-09	"CM.2"	0	"0%"
2023-01-09	"CM.8.1"	21	"5%"
2023-01-09	"other lineages"	41	"10%"
2023-01-09	"XBB.1"	46	"11%"
2023-01-09	"XBB.1.5"	238	"57%"
2023-01-09	"XBB.2"	4	"1%"
2023-01-16	"BA.2"	0	"0%"
2023-01-16	"BA.2.12.1"	1	"0%"
2023-01-16	"BA.2.3.20"	3	"1%"
2023-01-16	"BA.2.75"	0	"0%"
2023-01-16	"BA.2.75.2"	0	"0%"
2023-01-16	"BN.1"	6	"1%"
2023-01-16	"BN.1.3"	7	"1%"
2023-01-16	"BN.1.3.1"	3	"1%"
2023-01-16	"CH.1.1"	50	"9%"
2023-01-16	"CM.2"	0	"0%"
2023-01-16	"CM.8.1"	24	"4%"
2023-01-16	"other lineages"	43	"8%"
2023-01-16	"XBB.1"	50	"9%"
2023-01-16	"XBB.1.5"	372	"66%"
2023-01-16	"XBB.2"	5	"1%"
2023-01-23	"BA.2"	0	"0%"
2023-01-23	"BA.2.12.1"	0	"0%"
2023-01-23	"BA.2.3.20"	1	"0%"
2023-01-23	"BA.2.75"	0	"0%"
2023-01-23	"BA.2.75.2"	0	"0%"
2023-01-23	"BN.1"	4	"1%"
2023-01-23	"BN.1.3"	10	"2%"
2023-01-23	"BN.1.3.1"	1	"0%"
2023-01-23	"CH.1.1"	49	"9%"
2023-01-23	"CM.2"	0	"0%"
2023-01-23	"CM.8.1"	8	"1%"
2023-01-23	"other lineages"	44	"8%"
2023-01-23	"XBB.1"	26	"5%"
2023-01-23	"XBB.1.5"	414	"74%"
2023-01-23	"XBB.2"	3	"1%"
2023-01-30	"BA.2"	0	"0%"
2023-01-30	"BA.2.12.1"	0	"0%"
2023-01-30	"BA.2.3.20"	1	"0%"
2023-01-30	"BA.2.75"	0	"0%"
2023-01-30	"BA.2.75.2"	0	"0%"
2023-01-30	"BN.1"	4	"1%"
2023-01-30	"BN.1.3"	20	"3%"
2023-01-30	"BN.1.3.1"	0	"0%"
2023-01-30	"CH.1.1"	38	"6%"
2023-01-30	"CM.2"	0	"0%"
2023-01-30	"CM.8.1"	0	"0%"
2023-01-30	"other lineages"	38	"6%"
2023-01-30	"XBB.1"	23	"4%"
2023-01-30	"XBB.1.5"	460	"78%"
2023-01-30	"XBB.2"	5	"1%"
2023-02-06	"BA.2"	0	"0%"
2023-02-06	"BA.2.12.1"	0	"0%"
