"lineage"	"sel_coeff"	"low_CI"	"high_CI"	"size"	"region"	"reference"
"FY.1*"	0.00956665	0	0.02107	37	"Canada"	"EG.5.1.1"
"FU.1"	0.00951587	0	0.0226	28	"Ontario"	"EG.5*"
"FL.1*"	0.00951305	0.00635	0.01267	875	"Ontario"	"EG.5.1.1"
"FL.1.5*"	0.00950472	0.00634	0.01267	874	"Ontario"	"EG.5.1.1"
"EG.5.1.6"	0.00949787	0.00374	0.01525	186	"Alberta"	"EG.5*"
"EG.5.1.6"	0.00948015	0.00671	0.01225	849	"Canada"	"EG.5*"
"FY.5"	0.00947415	0	0.02596	26	"British Columbia"	"EG.5*"
"FL*"	0.00945783	0	0.02072	122	"Nova Scotia"	"EG.5.1.1"
"EG.5.1.4"	0.00941809	0.00677	0.01207	896	"Canada"	"EG.5*"
"HF.1"	0.00939642	0.00184	0.01695	88	"Canada"	"EG.5*"
"JD.1.2"	0.00935783	0	0.02206	30	"Ontario"	"EG.5*"
"JG*"	0.00930711	0.00368	0.01493	386	"British Columbia"	"EG.5.1.1"
"EG.5.1"	0.00920154	0	0.02164	57	"Nova Scotia"	"EG.5*"
"EG.5.1.4"	0.00907924	0.00534	0.01282	473	"Ontario"	"EG.5*"
"HR.1"	0.00896702	0.00363	0.0143	186	"Canada"	"EG.5*"
"XBB.1.5.70"	0.00894525	0	0.02014	39	"Canada"	"EG.5*"
"FY*"	0.00891773	0	0.01905	49	"Alberta"	"EG.5.1.1"
"XBB.1.22*"	0.00891773	0	0.01905	49	"Alberta"	"EG.5.1.1"
"EG.5.1"	0.00884996	0	0.02067	60	"Quebec"	"EG.5*"
"FL.1*"	0.00867852	0.00656	0.0108	1982	"Canada"	"EG.5.1.1"
"FL.1.5*"	0.00867482	0.00656	0.01079	1981	"Canada"	"EG.5.1.1"
"GW.5.1*"	0.00862672	0	0.02463	19	"Canada"	"EG.5.1.1"
"JE.1"	0.00859794	0	0.02237	25	"Alberta"	"EG.5*"
"JF*"	0.00852733	0.00368	0.01338	333	"Alberta"	"EG.5.1.1"
"DV.7.1"	0.00841429	0	0.02653	22	"British Columbia"	"EG.5*"
"FY.5"	0.00831787	0	0.02368	20	"Ontario"	"EG.5*"
"HK.3*"	0.00830542	0	0.01935	158	"New Brunswick"	"EG.5.1.1"
"XBB.1.16.11"	0.00829446	0	0.01979	37	"Alberta"	"EG.5*"
"XBB.1.16.15"	0.00798744	0	0.01707	60	"Ontario"	"EG.5*"
"XBB.1.41.1"	0.00794809	0	0.02017	33	"Canada"	"EG.5*"
"EG.5.1.4"	0.0079396	0	0.02329	39	"New Brunswick"	"EG.5*"
"JJ*"	0.0079396	0	0.02329	39	"New Brunswick"	"EG.5.1.1"
"JM*"	0.00765129	0	0.01661	62	"Ontario"	"EG.5.1.1"
"GK.1.1"	0.00759628	0.00204	0.01315	180	"Ontario"	"EG.5*"
"FY.3.1"	0.00755578	0	0.02107	27	"Canada"	"EG.5*"
"GK.2"	0.00740721	0.00042	0.0144	102	"Ontario"	"EG.5*"
"GK.1*"	0.00732948	0.00038	0.01427	114	"Alberta"	"EG.5.1.1"
"JD.1.1.2"	0.00730301	0	0.02238	21	"Alberta"	"EG.5*"
"FL.1.5*"	0.00721602	0	0.01933	103	"Nova Scotia"	"EG.5.1.1"
"FL.1*"	0.00721602	0	0.01933	103	"Nova Scotia"	"EG.5.1.1"
"EG.5.1"	0.00711902	0.00131	0.01293	277	"British Columbia"	"EG.5*"
"EG.5.1"	0.00709522	0.00489	0.0093	1566	"Canada"	"EG.5*"
"JG*"	0.00693563	0	0.01941	65	"New Brunswick"	"EG.5.1.1"
"FY.1.2"	0.00692415	0	0.01901	34	"Canada"	"EG.5*"
"JD.1.2"	0.00679388	0	0.01907	33	"Canada"	"EG.5*"
"XBB.1.16*"	0.00677531	0	0.03521	12	"Newfoundland and Labrador"	"EG.5.1.1"
"JF*"	0.00676777	0.00466	0.00888	1970	"Canada"	"EG.5.1.1"
"HF.1.2"	0.00645657	0	0.02415	23	"British Columbia"	"EG.5*"
"XBB.1.41.1"	0.0063537	0	0.03191	11	"British Columbia"	"EG.5*"
"XBB.1.16.15"	0.00631893	0	0.01803	55	"British Columbia"	"EG.5*"
"XBB.1.5*"	0.0061244	0.00218	0.01007	541	"Alberta"	"EG.5.1.1"
"FL.1.5*"	0.00609797	0.00185	0.01035	537	"Alberta"	"EG.5.1.1"
"FL.1*"	0.00609797	0.00185	0.01035	537	"Alberta"	"EG.5.1.1"
"JM*"	0.00608694	0	0.01763	57	"British Columbia"	"EG.5.1.1"
"GK.3.1"	0.00607435	0	0.01242	139	"Ontario"	"EG.5*"
"GK.3*"	0.00607435	0	0.01242	139	"Ontario"	"EG.5.1.1"
"GE.1.1"	0.00604602	0	0.02124	21	"Ontario"	"EG.5*"
"DV.7.1.2"	0.00590351	0	0.02693	14	"Quebec"	"EG.5*"
"GK.2.1"	0.00582472	0	0.02381	15	"Ontario"	"EG.5*"
"HN*"	0.00570076	0	0.0181	55	"Quebec"	"EG.5.1.1"
"XBB.1.41*"	0.00566164	0	0.01517	56	"Canada"	"EG.5.1.1"
"XBB.1.16.6"	0.00565962	0.0004	0.01092	250	"Alberta"	"EG.5*"
"FL.1.5.1"	0.00564542	0	0.01218	249	"British Columbia"	"EG.5*"
"FL.10.1"	0.00549713	0	0.02703	16	"British Columbia"	"EG.5*"
"FL.1.5.1"	0.0054032	0.00202	0.00879	668	"Ontario"	"EG.5*"
"HF.1*"	0.0053168	0	0.01888	41	"British Columbia"	"EG.5.1.1"
"FL.1.5.1"	0.00530804	0.00308	0.00754	1653	"Canada"	"EG.5*"
"XBB.2.3.8"	0.00519291	0	0.02908	13	"British Columbia"	"EG.5*"
"HG*"	0.00519291	0	0.02908	13	"British Columbia"	"EG.5.1.1"
"HN*"	0.00512358	0.00179	0.00846	707	"Ontario"	"EG.5.1.1"
"HN*"	0.00511044	0.0029	0.00732	1712	"Canada"	"EG.5.1.1"
"XBB.1.16.15"	0.00510441	0	0.01043	189	"Canada"	"EG.5*"
"HN*"	0.00498411	0	0.01149	254	"British Columbia"	"EG.5.1.1"
"JM*"	0.00491007	0	0.01016	195	"Canada"	"EG.5.1.1"
"EG.5.1.3"	0.00490498	0	0.01078	355	"British Columbia"	"EG.5*"
"FL.1.5*"	0.00482525	0	0.01132	256	"British Columbia"	"EG.5.1.1"
"FL.1*"	0.00482525	0	0.01132	256	"British Columbia"	"EG.5.1.1"
"GK.1.1"	0.00480995	0	0.0122	99	"Alberta"	"EG.5*"
"FL.1.5.1"	0.00474889	0	0.01738	99	"Nova Scotia"	"EG.5*"
"HN*"	0.00474889	0	0.01738	99	"Nova Scotia"	"EG.5.1.1"
"FL.1.5*"	0.00473795	0	0.0164	65	"Quebec"	"EG.5.1.1"
"FL.1*"	0.00473795	0	0.0164	65	"Quebec"	"EG.5.1.1"
"GW.5*"	0.00469399	0	0.01578	41	"Canada"	"EG.5.1.1"
"DV.7.1*"	0.00463297	0	0.01243	89	"Alberta"	"EG.5.1.1"
"DV*"	0.00463297	0	0.01243	89	"Alberta"	"EG.5.1.1"
"HK.6"	0.0044688	0	0.02843	13	"British Columbia"	"EG.5*"
"EG.6.1"	0.0043852	0	0.02542	13	"Quebec"	"EG.5*"
"HK.1"	0.00421979	0	0.01135	103	"Canada"	"EG.5*"
"GK.2*"	0.00419653	0	0.01057	129	"Ontario"	"EG.5.1.1"
"XBB.1.16.9"	0.00412407	0	0.01466	76	"British Columbia"	"EG.5*"
"CH.1.1*"	0.00385662	0	0.0113	101	"Alberta"	"EG.5.1.1"
"EG.5.1.4"	0.0038523	0	0.0263	12	"Quebec"	"EG.5*"
"JJ*"	0.0038523	0	0.0263	12	"Quebec"	"EG.5.1.1"
"XBB.1.16.15"	0.00375062	0	0.01378	50	"Alberta"	"EG.5*"
"JM*"	0.00375062	0	0.01378	50	"Alberta"	"EG.5.1.1"
"EG.6.1.1"	0.0037327	0	0.01459	43	"Ontario"	"EG.5*"
"FL*"	0.00366935	0	0.00782	603	"Alberta"	"EG.5.1.1"
"GK*"	0.00346559	0	0.00935	170	"Alberta"	"EG.5.1.1"
"FL*"	0.00326834	0.00053	0.00601	1302	"Ontario"	"EG.5.1.1"
"GW*"	0.00317342	0	0.01408	43	"Canada"	"EG.5.1.1"
"FL*"	0.00311925	0.00123	0.00501	2766	"Canada"	"EG.5.1.1"
"JF*"	0.00311594	0	0.01807	29	"Nova Scotia"	"EG.5.1.1"
"FY.4.1.1"	0.00296603	0	0.01672	27	"Canada"	"EG.5*"
"HW.1.1"	0.00285689	0	0.02436	11	"Canada"	"EG.5*"
"XBB.1.16"	0.00276571	0	0.02914	11	"Manitoba"	"EG.5*"
"HF.1"	0.00275983	0	0.01451	36	"Alberta"	"EG.5*"
"HF.1"	0.00268808	0	0.02687	13	"British Columbia"	"EG.5*"
"EG.6.1*"	0.00266797	0	0.00737	277	"Ontario"	"EG.5.1.1"
"FL.1.5.1"	0.00256063	0	0.00695	459	"Alberta"	"EG.5*"
"GK.2*"	0.00247165	0	0.00718	245	"Canada"	"EG.5.1.1"
"FL*"	0.0024388	0	0.01275	95	"Quebec"	"EG.5.1.1"
"FY*"	0.00243334	0	0.00738	225	"Canada"	"EG.5.1.1"
"EG.6.1"	0.00243181	0	0.00746	234	"Ontario"	"EG.5*"
"HN*"	0.00235199	0	0.00673	465	"Alberta"	"EG.5.1.1"
"XBB.1.22*"	0.00225199	0	0.00719	226	"Canada"	"EG.5.1.1"
"JL.1"	0.00221528	0	0.02431	16	"British Columbia"	"EG.5*"
"GS*"	0.00215581	0	0.0131	42	"Alberta"	"EG.5.1.1"
"EG.5.1.6"	0.00208048	0	0.01373	74	"Nova Scotia"	"EG.5*"
"FY.1.2"	0.00203786	0	0.02226	19	"British Columbia"	"EG.5*"
"FY.1*"	0.00203786	0	0.02226	19	"British Columbia"	"EG.5.1.1"
"DV.7.1"	0.00199954	0	0.01026	78	"Alberta"	"EG.5*"
"GE.1*"	0.00179956	0	0.00815	139	"Ontario"	"EG.5.1.1"
"XBB.1.16*"	0.00178566	0	0.00587	1135	"British Columbia"	"EG.5.1.1"
"XBB.1.16.17"	0.0016621	0	0.01117	58	"Ontario"	"EG.5*"
"JF*"	0.00161697	0	0.00485	774	"Ontario"	"EG.5.1.1"
"GS.4*"	0.00161105	0	0.01349	35	"Alberta"	"EG.5.1.1"
"EG.6.1*"	0.0015764	0	0.02179	15	"Quebec"	"EG.5.1.1"
"XBB.1.16.21"	0.00157105	0	0.02444	15	"British Columbia"	"EG.5*"
"GY*"	0.00156142	0	0.02364	17	"Manitoba"	"EG.5.1.1"
"XBB.1.16.6"	0.00149091	0	0.0039	1269	"Canada"	"EG.5*"
"JF*"	0.00147954	0	0.01663	43	"Manitoba"	"EG.5.1.1"
"JE.1*"	0.00132243	0	0.01167	44	"Alberta"	"EG.5.1.1"
"FL.15*"	0.00123384	0	0.02099	12	"Alberta"	"EG.5.1.1"
"FU.2.1"	0.00119144	0	0.02009	13	"Alberta"	"EG.5*"
"FL.15"	0.00117668	0	0.02178	11	"Alberta"	"EG.5*"
"GK.2"	0.00116018	0	0.00654	186	"Canada"	"EG.5*"
"FY.4.1*"	0.00106935	0	0.01405	31	"Canada"	"EG.5.1.1"
"GW.5"	0.00102008	0	0.01637	22	"Canada"	"EG.5*"
"EG.5.1.3"	0.00094975	0	0.00349	1206	"Canada"	"EG.5*"
"GE.1"	0.000909	0	0.00778	117	"Ontario"	"EG.5*"
"FY.3*"	0.00087573	0	0.01366	32	"Canada"	"EG.5.1.1"
"XBB.2.3.2"	0.0008493	0	0.01253	35	"Alberta"	"EG.5*"
"XBB.1.16.9"	0.00084626	0	0.01011	58	"Alberta"	"EG.5*"
"GS.4.1"	0.00078006	0	0.01442	26	"Alberta"	"EG.5*"
"GJ.1.2*"	0.00056948	0	0.00909	126	"British Columbia"	"EG.5.1.1"
"GN.1.1"	0.00045289	0	0.01415	45	"British Columbia"	"EG.5*"
"XBB.1.16*"	0.00035976	0	0.01326	50	"Nova Scotia"	"EG.5.1.1"
"HF.1*"	0.00034328	0	0.01099	45	"Alberta"	"EG.5.1.1"
"XBB.2.3*"	0.00030364	0	0.00693	237	"British Columbia"	"EG.5.1.1"
"FL.1.5"	0.00012076	0	0.02	13	"Ontario"	"EG.5*"
"HK.4"	0.00011178	0	0.02685	11	"British Columbia"	"EG.5*"
"FL.1.5.1"	0.00002149	0	0.01349	46	"Quebec"	"EG.5*"
