"lineage"	"sel_coeff"	"low_CI"	"high_CI"	"size"	"region"	"Highlight"	"lineType"	"reference"
"MC.1"	0.01089714	0.00251	0.01928	62	"Quebec"	0	"dashed"	"KP.3.1.1"
"KP.3.3.2"	0.01039293	0.00634	0.01444	226	"Canada"	0	"dashed"	"KP.3.1.1"
"MU.1.1"	0.01037642	0	0.03133	11	"British Columbia"	0	"dashed"	"KP.3.1.1"
"MU.1*"	0.01037642	0	0.03133	11	"British Columbia"	0	"dashed"	"KP.3*"
"MC.28"	0.01008446	0.00449	0.01568	120	"Canada"	0	"dashed"	"KP.3.1.1"
"JN.1.16*"	0.01004959	0.00567	0.01443	192	"Ontario"	0	"dashed"	"KP.3*"
"MC.2*"	0.01000687	0.00473	0.01528	135	"Canada"	0	"dashed"	"KP.3*"
"LB.1*"	0.00986391	0	0.02632	13	"Quebec"	0	"dashed"	"KP.3*"
"MV*"	0.0097695	0	0.02001	35	"Canada"	0	"dashed"	"KP.3*"
"XEM"	0.00921942	0.00271	0.01573	82	"Ontario"	0	"dashed"	"KP.3.1.1"
"MC.20"	0.00898769	0	0.02361	16	"Ontario"	0	"dashed"	"KP.3.1.1"
"MC.1.3"	0.00885871	0.0032	0.01451	209	"Alberta"	0	"dashed"	"KP.3.1.1"
"MC.8"	0.008761	0	0.03014	11	"British Columbia"	0	"dashed"	"KP.3.1.1"
"MC.21*"	0.00859413	0.00053	0.01666	53	"Ontario"	0	"dashed"	"KP.3*"
"MA.1"	0.00846486	0	0.02412	14	"Ontario"	0	"dashed"	"KP.3.1.1"
"MC.1.3*"	0.00796271	0.00259	0.01333	246	"Alberta"	0	"dashed"	"KP.3*"
"MC.1.3*"	0.00777099	0	0.0169	66	"British Columbia"	0	"dashed"	"KP.3*"
"NF*"	0.00766652	0	0.01625	48	"Ontario"	0	"dashed"	"KP.3*"
"MC.1.3*"	0.00765198	0.00379	0.01152	262	"Ontario"	0	"dashed"	"KP.3*"
"MC.1.3"	0.00754269	0.00365	0.01144	258	"Ontario"	0	"dashed"	"KP.3.1.1"
"XEC.8"	0.00751779	0	0.02432	20	"Alberta"	0	"dashed"	"KP.3.1.1"
"XEK.3"	0.0070662	0	0.0169	40	"Canada"	0	"dashed"	"KP.3.1.1"
"MC.13"	0.00696543	0	0.02001	23	"Quebec"	0	"dashed"	"KP.3.1.1"
"MC.9"	0.00688044	0	0.03327	15	"Newfoundland and Labrador"	0	"dashed"	"KP.3.1.1"
"KP.3.3.1"	0.00682642	0	0.01639	39	"Ontario"	0	"dashed"	"KP.3.1.1"
"NQ*"	0.00682642	0	0.01639	39	"Ontario"	0	"dashed"	"KP.3*"
"NP*"	0.00631297	0	0.01545	68	"British Columbia"	0	"dashed"	"KP.3*"
"XEC.2.1"	0.00584033	0	0.02426	11	"Quebec"	0	"dashed"	"KP.3.1.1"
"XEK.3"	0.00577885	0	0.0228	19	"British Columbia"	0	"dashed"	"KP.3.1.1"
"MC.1.3"	0.00577786	0.00334	0.00822	781	"Canada"	0	"dashed"	"KP.3.1.1"
"MC.1.3*"	0.00574187	0.00337	0.00812	833	"Canada"	0	"dashed"	"KP.3*"
"MC.2"	0.00564257	0	0.01995	29	"Alberta"	0	"dashed"	"KP.3.1.1"
"MC.24"	0.00518909	0	0.01793	30	"New Brunswick"	0	"dashed"	"KP.3.1.1"
"MC.16"	0.00509316	0	0.01737	41	"Alberta"	0	"dashed"	"KP.3.1.1"
"MC.1.3.1"	0.00501484	0	0.01382	52	"Canada"	0	"dashed"	"KP.3.1.1"
"MC.24"	0.00497923	0.00206	0.0079	520	"Canada"	0	"dashed"	"KP.3.1.1"
"MC.8*"	0.00474355	0	0.02017	24	"British Columbia"	0	"dashed"	"KP.3*"
"KP.3.3.2"	0.00468272	0	0.01327	80	"Alberta"	0	"dashed"	"KP.3.1.1"
"LF.7.1"	0.00458757	0	0.02393	16	"Alberta"	0	"dashed"	"KP.3.1.1"
"NH.2"	0.00450674	0	0.02284	18	"Alberta"	0	"dashed"	"KP.3.1.1"
"NH*"	0.00450674	0	0.02284	18	"Alberta"	0	"dashed"	"KP.3*"
"MC.22"	0.00432122	0	0.01677	26	"Canada"	0	"dashed"	"KP.3.1.1"
"MC.2"	0.00408838	0	0.01936	17	"Quebec"	0	"dashed"	"KP.3.1.1"
"MC.16"	0.00408596	0	0.01542	47	"British Columbia"	0	"dashed"	"KP.3.1.1"
"MC.13*"	0.00397743	0.00132	0.00664	671	"Canada"	0	"dashed"	"KP.3*"
"MC.1.3"	0.00392801	0	0.01412	58	"British Columbia"	0	"dashed"	"KP.3.1.1"
"KP.2.3"	0.00385983	0	0.0356	12	"Newfoundland and Labrador"	0	"dashed"	"KP.3.1.1"
"KP.2.3*"	0.00385983	0	0.0356	12	"Newfoundland and Labrador"	0	"dashed"	"KP.3*"
"MC.26*"	0.00361447	0	0.01926	25	"Alberta"	0	"dashed"	"KP.3*"
"MC.24"	0.00342616	0	0.00751	247	"Ontario"	0	"dashed"	"KP.3.1.1"
"KP.3.3*"	0.00328359	0	0.01154	93	"British Columbia"	0	"dashed"	"KP.3*"
"LB.1"	0.00315	0	0.02621	11	"British Columbia"	0	"dashed"	"KP.3.1.1"
"MC.2*"	0.00284462	0	0.01784	18	"Quebec"	0	"dashed"	"KP.3*"
"MC.26"	0.00280103	0	0.01021	77	"Canada"	0	"dashed"	"KP.3.1.1"
"MC.6"	0.00258289	0	0.0091	91	"Ontario"	0	"dashed"	"KP.3.1.1"
"MC.9"	0.00253483	0	0.02158	11	"Quebec"	0	"dashed"	"KP.3.1.1"
"MC.13*"	0.00249746	0	0.01109	95	"Alberta"	0	"dashed"	"KP.3*"
"MC.9"	0.00218218	0	0.00681	204	"Canada"	0	"dashed"	"KP.3.1.1"
"MC.11"	0.00212845	0	0.01043	56	"Ontario"	0	"dashed"	"KP.3.1.1"
"MC.9"	0.00208396	0	0.00909	77	"Ontario"	0	"dashed"	"KP.3.1.1"
"MC.1.3.1"	0.00200803	0	0.01539	37	"Alberta"	0	"dashed"	"KP.3.1.1"
"MC.2*"	0.00198818	0	0.01621	32	"Alberta"	0	"dashed"	"KP.3*"
"MC.4"	0.00178644	0	0.01277	36	"Canada"	0	"dashed"	"KP.3.1.1"
"MC.16"	0.00174875	0	0.01371	30	"Quebec"	0	"dashed"	"KP.3.1.1"
"NF.1"	0.00153474	0	0.01193	36	"Ontario"	0	"dashed"	"KP.3.1.1"
"NF.1*"	0.00147227	0	0.01173	37	"Ontario"	0	"dashed"	"KP.3*"
"MC.13"	0.0013681	0	0.00451	489	"Canada"	0	"dashed"	"KP.3.1.1"
"MC.13.1"	0.0013416	0	0.00717	132	"Canada"	0	"dashed"	"KP.3.1.1"
"ND.1.1.1"	0.00083516	0	0.0136	27	"Canada"	0	"dashed"	"KP.3.1.1"
"MC.8.1"	0.00068721	0	0.02276	13	"British Columbia"	0	"dashed"	"KP.3.1.1"
"MC.16"	0.00045743	0	0.00398	390	"Canada"	0	"dashed"	"KP.3.1.1"
"KP.3"	0.00039581	0	0.01174	31	"Ontario"	0	"dashed"	"KP.3.1.1"
"KP.2.3*"	0.00035547	0	0.01454	34	"Alberta"	0	"dashed"	"KP.3*"
"MC.13"	0.00022138	0	0.00934	88	"Alberta"	0	"dashed"	"KP.3.1.1"
