#node	date	numeric date
NODE_0000111	2021-02-25	2021.151997
hCoV-19/Canada/QC-1nIOU-A6271808/2021_A.2.5.2_2021-02-27	2021-02-27	2021.157534
NODE_0000112	2021-05-20	2021.381746
hCoV-19/Canada/QC-L00357387/2021_A.2.5.2_2021-05-29	2021-05-29	2021.406849
NODE_0000113	2021-05-21	2021.384955
hCoV-19/Canada/QC-L00362679001/2021_A.2.5.2_2021-06-26	2021-06-26	2021.483562
NODE_0000114	2021-05-22	2021.388164
hCoV-19/Canada/QC-L00361271001/2021_A.2.5.2_2021-06-15	2021-06-15	2021.453425
hCoV-19/Canada/QC-L00358300/2021_A.2.5.2_2021-06-05	2021-06-05	2021.426027
NODE_0000115	2020-01-19	2020.049224
NODE_0000116	2020-01-19	2020.049224
NODE_0000117	2020-02-18	2020.132200
NODE_0000118	2020-03-06	2020.180052
hCoV-19/Canada/AB-76629/2020_A.3_2020-03-27	2020-03-27	2020.236339
NODE_0000119	2020-03-07	2020.182626
hCoV-19/Canada/ON-PHL-20-80109/2020_A.3_2020-03-18	2020-03-18	2020.211749
hCoV-19/Canada/ON-PHL-20-80425/2020_A.3_2020-04-05	2020-04-05	2020.260929
NODE_0000120	2020-02-18	2020.132200
NODE_0000121	2020-03-07	2020.182255
hCoV-19/Canada/QC-LSPQ-L00219020/2020_A_2020-03-14	2020-03-14	2020.200820
hCoV-19/Canada/QC-JUS-V5290502/2020_A_2020-03-27	2020-03-27	2020.236339
NODE_0000122	2020-02-26	2020.154063
hCoV-19/Canada/ON-PHL-20-80265/2020_A_2020-03-21	2020-03-21	2020.219945
NODE_0000123	2020-04-08	2020.269126
hCoV-19/Canada/QC-L00256672/2020_A_2020-05-04	2020-05-04	2020.340164
hCoV-19/Canada/QC-L00247643/2020_A_2020-04-08	2020-04-08	2020.269126
NODE_0000124	2020-02-17	2020.130315
hCoV-19/Canada/BC-BCCDC-92439/2021_A_2021-05-20	2021-05-20	2021.382192
NODE_0000125	2020-03-05	2020.175780
NODE_0000126	2020-03-26	2020.233607
hCoV-19/Canada/QC-JUS-V6011307/2020_A.1_2020-03-30	2020-03-30	2020.244536
hCoV-19/Canada/QC-JUS-V5270617/2020_A.1_2020-03-26	2020-03-26	2020.233607
NODE_0000127	2020-03-05	2020.175780
hCoV-19/Canada/QC-LSPQ-L00213013/2020_A.1_2020-03-06	2020-03-06	2020.178962
NODE_0000128	2020-03-05	2020.175780
NODE_0000129	2020-03-15	2020.203552
hCoV-19/Canada/ON-PHL-20-90265/2020_A.1_2020-03-15	2020-03-15	2020.203552
hCoV-19/Canada/ON-PHL-20-04068/2020_A.1_2020-04-14	2020-04-14	2020.285519
NODE_0000130	2020-03-14	2020.199637
hCoV-19/Canada/QC-LSPQ-L00230998/2020_A.1_2020-03-21	2020-03-21	2020.219945
NODE_0000131	2020-03-15	2020.202846
NODE_0000132	2020-05-08	2020.351093
