#node	date	numeric date
NODE_0000121	2020-03-02	2020.167686
NODE_0000122	2020-04-30	2020.328825
hCoV-19/Canada/ON-PHL-20-01645/2020_A.1_2020-05-01	2020-05-01	2020.331967
NODE_0000123	2020-05-01	2020.331967
hCoV-19/Canada/ON-PHL-20-00353/2020_A.1_2020-05-15	2020-05-15	2020.370219
NODE_0000124	2020-05-01	2020.331967
hCoV-19/Canada/ON-PHL-20-00249/2020_A.1_2020-05-09	2020-05-09	2020.353825
hCoV-19/Canada/ON-PHL-20-01455/2020_A.1_2020-05-22	2020-05-22	2020.389344
NODE_0000125	2020-03-03	2020.171066
NODE_0000126	2020-03-30	2020.244126
hCoV-19/Canada/MB-NML-417/2020_A.1_2020-03-31	2020-03-31	2020.247268
NODE_0000127	2020-04-07	2020.266393
hCoV-19/Canada/ON-PHL-20-80567/2020_A.1_2020-04-07	2020-04-07	2020.266393
hCoV-19/Canada/ON-PHL-20-04068/2020_A.1_2020-04-14	2020-04-14	2020.285519
NODE_0000128	2020-03-04	2020.174062
hCoV-19/Canada/QC-LSPQ-L00213013/2020_A.1_2020-03-06	2020-03-06	2020.178962
NODE_0000129	2020-03-04	2020.174062
NODE_0000130	2020-03-20	2020.216803
hCoV-19/Canada/QC-JUS-V5311417/2020_A.1_2020-03-29	2020-03-29	2020.241803
hCoV-19/Canada/QC-JUS-V5221107/2020_A.1_2020-03-21	2020-03-21	2020.219945
NODE_0000131	2020-03-09	2020.187173
hCoV-19/Canada/NS-NML-12/2020_A.1_2020-03-13	2020-03-13	2020.198087
NODE_0000132	2020-04-23	2020.309699
hCoV-19/Canada/QC-JUS-V802166599/2020_A.1_2020-06-01	2020-06-01	2020.416667
hCoV-19/Canada/QC-L00253697/2020_A.1_2020-04-24	2020-04-24	2020.312842
NODE_0000133	2020-02-27	2020.157463
NODE_0000134	2020-03-14	2020.200759
hCoV-19/Canada/AB-47319/2020_A.2.2_2020-03-29	2020-03-29	2020.241803
NODE_0000135	2020-03-14	2020.200759
hCoV-19/Canada/Qc-LSPQ-L00224967/2020_A.2.2_2020-03-17	2020-03-17	2020.209016
hCoV-19/Canada/ON-PHL-20-00414/2020_A.2.2_2020-03-31	2020-03-31	2020.247268
NODE_0000136	2020-02-28	2020.160606
NODE_0000137	2020-03-13	2020.198087
hCoV-19/Canada/ON-PHL-20-80797/2020_A.2_2020-03-13	2020-03-13	2020.198087
hCoV-19/Canada/ON-PHL-20-80139/2020_A.2_2020-03-19	2020-03-19	2020.214481
NODE_0000138	2020-02-29	2020.163748
NODE_0000139	2020-02-29	2020.163748
hCoV-19/Canada/QC-JUS-V5281550/2020_A.2_2020-03-26	2020-03-26	2020.233607
hCoV-19/Canada/QC-JUS-V6010321/2020_A.2_2020-03-30	2020-03-30	2020.244536
NODE_0000140	2020-03-21	2020.219535
hCoV-19/Canada/QC-1nDJXQ-2008201084A/2020_A.2.5_2020-03-22	2020-03-22	2020.222678
NODE_0000141	2020-12-03	2020.922739
hCoV-19/Canada/QC-L00355652001A/2021_A.2.5_2021-05-19	2021-05-19	2021.379452
NODE_0000142	2020-12-17	2020.961364
NODE_0000143	2020-12-23	2020.976603
hCoV-19/Canada/BC-BCCDC-128981/2021_A.2.5_2021-07-04	2021-07-04	2021.505479
NODE_0000144	2020-12-23	2020.976603
NODE_0000145	2021-02-07	2021.101915
hCoV-19/Canada/BC-BCCDC-107151/2021_A.2.5.1_2021-06-09	2021-06-09	2021.436986
NODE_0000146	2021-02-22	2021.142930
hCoV-19/Canada/QC-L00358245/2021_A.2.5.1_2021-06-03	2021-06-03	2021.420548
NODE_0000147	2021-02-22	2021.143836
hCoV-19/Canada/ON-PHL-21-12154/2021_A.2.5.1_2021-02-22	2021-02-22	2021.143836
NODE_0000148	2021-02-24	2021.148068
hCoV-19/Canada/QC-L00356585/2021_A.2.5.1_2021-05-28	2021-05-28	2021.404110
NODE_0000149	2021-05-07	2021.346173
hCoV-19/Canada/QC-L00355318001A/2021_A.2.5.1_2021-05-21	2021-05-21	2021.384932
