"Date"	"Lineage"	"Frequency"	"% Frequency"
2023-08-14	"EG.5.1.3"	54	"5%"
2023-08-14	"EG.5.1.4"	22	"2%"
2023-08-14	"EG.5.1.6"	6	"1%"
2023-08-14	"EG.5.2"	2	"0%"
2023-08-14	"EG.6.1"	61	"6%"
2023-08-14	"EG.7"	20	"2%"
2023-08-14	"FD.1.1"	3	"0%"
2023-08-14	"FK.1.1"	5	"0%"
2023-08-14	"FL.1.5"	0	"0%"
2023-08-14	"FL.1.5.1"	42	"4%"
2023-08-14	"FL.10.1"	5	"0%"
2023-08-14	"FL.15"	10	"1%"
2023-08-14	"FL.20"	32	"3%"
2023-08-14	"FL.4"	2	"0%"
2023-08-14	"FU.1"	16	"2%"
2023-08-14	"FU.2.1"	8	"1%"
2023-08-14	"FY.5"	1	"0%"
2023-08-14	"GE.1"	13	"1%"
2023-08-14	"GJ.1.2"	33	"3%"
2023-08-14	"GK.1.1"	5	"0%"
2023-08-14	"GK.2"	19	"2%"
2023-08-14	"GK.3.1"	0	"0%"
2023-08-14	"GW.1"	0	"0%"
2023-08-14	"HF.1"	13	"1%"
2023-08-14	"HK.3"	8	"1%"
2023-08-14	"HR.1"	5	"0%"
2023-08-14	"HV.1"	14	"1%"
2023-08-14	"other lineages"	207	"21%"
2023-08-14	"XBB.1.16"	48	"5%"
2023-08-14	"XBB.1.16.1"	15	"1%"
2023-08-14	"XBB.1.16.11"	12	"1%"
2023-08-14	"XBB.1.16.15"	5	"0%"
2023-08-14	"XBB.1.16.6"	57	"6%"
2023-08-14	"XBB.1.16.8"	0	"0%"
2023-08-14	"XBB.1.16.9"	3	"0%"
2023-08-14	"XBB.1.42.2"	7	"1%"
2023-08-14	"XBB.1.5"	16	"2%"
2023-08-14	"XBB.1.5.10"	17	"2%"
2023-08-14	"XBB.1.5.44"	1	"0%"
2023-08-14	"XBB.1.5.49"	4	"0%"
2023-08-14	"XBB.1.5.72"	15	"1%"
2023-08-14	"XBB.1.9.1"	7	"1%"
2023-08-14	"XBB.1.9.2"	8	"1%"
2023-08-14	"XBB.2.3"	10	"1%"
2023-08-14	"XBB.2.3.11"	4	"0%"
2023-08-14	"XBB.2.3.2"	4	"0%"
2023-08-21	"DV.7.1"	9	"1%"
2023-08-21	"EG.1"	21	"2%"
2023-08-21	"EG.5.1"	69	"5%"
2023-08-21	"EG.5.1.1"	171	"13%"
2023-08-21	"EG.5.1.3"	33	"3%"
2023-08-21	"EG.5.1.4"	26	"2%"
2023-08-21	"EG.5.1.6"	21	"2%"
2023-08-21	"EG.5.2"	6	"0%"
2023-08-21	"EG.6.1"	75	"6%"
2023-08-21	"EG.7"	3	"0%"
2023-08-21	"FD.1.1"	5	"0%"
2023-08-21	"FK.1.1"	12	"1%"
2023-08-21	"FL.1.5"	2	"0%"
2023-08-21	"FL.1.5.1"	64	"5%"
2023-08-21	"FL.10.1"	13	"1%"
2023-08-21	"FL.15"	3	"0%"
2023-08-21	"FL.20"	45	"4%"
2023-08-21	"FL.4"	2	"0%"
2023-08-21	"FU.1"	8	"1%"
2023-08-21	"FU.2.1"	30	"2%"
2023-08-21	"FY.5"	7	"1%"
2023-08-21	"GE.1"	12	"1%"
2023-08-21	"GJ.1.2"	26	"2%"
2023-08-21	"GK.1.1"	7	"1%"
2023-08-21	"GK.2"	12	"1%"
2023-08-21	"GK.3.1"	0	"0%"
2023-08-21	"GW.1"	0	"0%"
2023-08-21	"HF.1"	8	"1%"
2023-08-21	"HK.3"	7	"1%"
2023-08-21	"HR.1"	6	"0%"
2023-08-21	"HV.1"	15	"1%"
2023-08-21	"other lineages"	207	"16%"
2023-08-21	"XBB.1.16"	45	"4%"
2023-08-21	"XBB.1.16.1"	14	"1%"
2023-08-21	"XBB.1.16.11"	24	"2%"
2023-08-21	"XBB.1.16.15"	6	"0%"
2023-08-21	"XBB.1.16.6"	89	"7%"
2023-08-21	"XBB.1.16.8"	4	"0%"
2023-08-21	"XBB.1.16.9"	7	"1%"
2023-08-21	"XBB.1.42.2"	5	"0%"
2023-08-21	"XBB.1.5"	51	"4%"
2023-08-21	"XBB.1.5.10"	16	"1%"
2023-08-21	"XBB.1.5.44"	1	"0%"
2023-08-21	"XBB.1.5.49"	2	"0%"
2023-08-21	"XBB.1.5.72"	27	"2%"
2023-08-21	"XBB.1.9.1"	26	"2%"
2023-08-21	"XBB.1.9.2"	12	"1%"
2023-08-21	"XBB.2.3"	14	"1%"
2023-08-21	"XBB.2.3.11"	5	"0%"
2023-08-21	"XBB.2.3.2"	7	"1%"
2023-08-28	"DV.7.1"	23	"2%"
2023-08-28	"EG.1"	8	"1%"
2023-08-28	"EG.5.1"	82	"7%"
2023-08-28	"EG.5.1.1"	175	"15%"
2023-08-28	"EG.5.1.3"	43	"4%"
2023-08-28	"EG.5.1.4"	51	"4%"
2023-08-28	"EG.5.1.6"	26	"2%"
2023-08-28	"EG.5.2"	1	"0%"
2023-08-28	"EG.6.1"	55	"5%"
2023-08-28	"EG.7"	2	"0%"
2023-08-28	"FD.1.1"	2	"0%"
2023-08-28	"FK.1.1"	8	"1%"
2023-08-28	"FL.1.5"	4	"0%"
2023-08-28	"FL.1.5.1"	74	"6%"
2023-08-28	"FL.10.1"	7	"1%"
2023-08-28	"FL.15"	2	"0%"
2023-08-28	"FL.20"	37	"3%"
2023-08-28	"FL.4"	3	"0%"
2023-08-28	"FU.1"	10	"1%"
2023-08-28	"FU.2.1"	22	"2%"
2023-08-28	"FY.5"	4	"0%"
2023-08-28	"GE.1"	9	"1%"
2023-08-28	"GJ.1.2"	54	"5%"
2023-08-28	"GK.1.1"	11	"1%"
2023-08-28	"GK.2"	13	"1%"
2023-08-28	"GK.3.1"	2	"0%"
2023-08-28	"GW.1"	0	"0%"
2023-08-28	"HF.1"	4	"0%"
2023-08-28	"HK.3"	12	"1%"
2023-08-28	"HR.1"	1	"0%"
2023-08-28	"HV.1"	25	"2%"
2023-08-28	"other lineages"	116	"10%"
2023-08-28	"XBB.1.16"	32	"3%"
2023-08-28	"XBB.1.16.1"	21	"2%"
2023-08-28	"XBB.1.16.11"	15	"1%"
2023-08-28	"XBB.1.16.15"	3	"0%"
2023-08-28	"XBB.1.16.6"	69	"6%"
2023-08-28	"XBB.1.16.8"	4	"0%"
2023-08-28	"XBB.1.16.9"	31	"3%"
2023-08-28	"XBB.1.42.2"	2	"0%"
2023-08-28	"XBB.1.5"	23	"2%"
2023-08-28	"XBB.1.5.10"	10	"1%"
2023-08-28	"XBB.1.5.44"	3	"0%"
2023-08-28	"XBB.1.5.49"	3	"0%"
2023-08-28	"XBB.1.5.72"	12	"1%"
2023-08-28	"XBB.1.9.1"	13	"1%"
2023-08-28	"XBB.1.9.2"	16	"1%"
2023-08-28	"XBB.2.3"	9	"1%"
2023-08-28	"XBB.2.3.11"	5	"0%"
2023-08-28	"XBB.2.3.2"	12	"1%"
2023-09-04	"DV.7.1"	41	"3%"
2023-09-04	"EG.1"	0	"0%"
2023-09-04	"EG.5.1"	92	"7%"
2023-09-04	"EG.5.1.1"	193	"14%"
2023-09-04	"EG.5.1.3"	74	"5%"
2023-09-04	"EG.5.1.4"	69	"5%"
2023-09-04	"EG.5.1.6"	51	"4%"
2023-09-04	"EG.5.2"	4	"0%"
2023-09-04	"EG.6.1"	59	"4%"
2023-09-04	"EG.7"	10	"1%"
2023-09-04	"FD.1.1"	3	"0%"
2023-09-04	"FK.1.1"	0	"0%"
2023-09-04	"FL.1.5"	1	"0%"
2023-09-04	"FL.1.5.1"	83	"6%"
2023-09-04	"FL.10.1"	3	"0%"
2023-09-04	"FL.15"	6	"0%"
2023-09-04	"FL.20"	31	"2%"
2023-09-04	"FL.4"	0	"0%"
2023-09-04	"FU.1"	10	"1%"
2023-09-04	"FU.2.1"	6	"0%"
2023-09-04	"FY.5"	5	"0%"
2023-09-04	"GE.1"	17	"1%"
2023-09-04	"GJ.1.2"	47	"3%"
2023-09-04	"GK.1.1"	10	"1%"
2023-09-04	"GK.2"	31	"2%"
2023-09-04	"GK.3.1"	4	"0%"
2023-09-04	"GW.1"	0	"0%"
2023-09-04	"HF.1"	10	"1%"
2023-09-04	"HK.3"	26	"2%"
2023-09-04	"HR.1"	5	"0%"
2023-09-04	"HV.1"	57	"4%"
2023-09-04	"other lineages"	140	"10%"
2023-09-04	"XBB.1.16"	34	"3%"
2023-09-04	"XBB.1.16.1"	16	"1%"
2023-09-04	"XBB.1.16.11"	31	"2%"
2023-09-04	"XBB.1.16.15"	3	"0%"
2023-09-04	"XBB.1.16.6"	54	"4%"
2023-09-04	"XBB.1.16.8"	25	"2%"
2023-09-04	"XBB.1.16.9"	4	"0%"
