"lineage"	"sel_coeff"	"low_CI"	"high_CI"	"size"	"region"
"XBB.1.16.8"	0.03579922	0.02347	0.04813	26	"Canada"
"GR.1"	0.03576704	0.02078	0.05076	16	"Canada"
"XBB.1.9.1"	0.03568313	0.01324	0.05812	26	"Alberta"
"FL.18*"	0.03556778	0.02795	0.04319	73	"Canada"
"XBB.1.9*"	0.03556584	0.02308	0.04805	213	"Alberta"
"XBB.1.16.2"	0.03556426	0.02094	0.05019	25	"Ontario"
"HM*"	0.03554612	0.01672	0.05437	14	"Ontario"
"FK.1.1"	0.03551296	0.02162	0.04941	19	"Canada"
"GN*"	0.0351994	0.02792	0.04247	82	"Canada"
"FL.18"	0.03519413	0.02753	0.04286	72	"Canada"
"FL.4"	0.03505649	0.01255	0.05756	24	"British Columbia"
"XBB.1.5.77"	0.03504974	0.01991	0.05018	23	"Ontario"
"HR*"	0.03504974	0.01991	0.05018	23	"Ontario"
"XBB.1.9*"	0.03476398	0.03235	0.03718	2846	"Canada"
"EG.2"	0.03474168	0.02224	0.04724	24	"Canada"
"HH*"	0.03466915	0.01718	0.05216	36	"British Columbia"
"XBB.1.16.13"	0.0346607	0.00462	0.0647	13	"British Columbia"
"XBB.1.5.73"	0.03455889	0.02157	0.04754	31	"Ontario"
"GJ*"	0.03435754	0.02899	0.03973	172	"Canada"
"XBB.1.16.1"	0.03435504	0.00857	0.06014	18	"British Columbia"
"XBB.1.5.30"	0.03411079	0.01453	0.05369	13	"Ontario"
"XBB.1.9*"	0.03408244	0.02984	0.03833	847	"Quebec"
"FL.3"	0.03408237	0.013	0.05517	11	"Ontario"
"FE.1.1*"	0.0340569	0.02095	0.04717	32	"Ontario"
"XBB.1.5.59"	0.03395169	0.02074	0.04717	21	"Canada"
"FL.14"	0.03385757	0.02275	0.04497	31	"Canada"
"XBB.1.16"	0.03370057	0.02855	0.03885	469	"Ontario"
"FY.5"	0.03367743	0.00125	0.06611	11	"British Columbia"
"CH.1.1.14"	0.03350879	0.01575	0.05127	19	"Quebec"
"FL.7"	0.03344577	0.01312	0.05377	12	"Ontario"
"FL*"	0.03293222	0.02348	0.04238	264	"British Columbia"
"GB.1"	0.03278033	0.01242	0.05314	12	"Ontario"
"EG.7"	0.03263395	0.02077	0.0445	27	"Canada"
"FU*"	0.03260711	0.02386	0.04136	99	"Quebec"
"FL.1.5"	0.03239085	0.01489	0.04989	20	"Quebec"
"FL.2*"	0.03214617	0.02481	0.03948	82	"Canada"
"XBB.1.16"	0.0321301	0.01912	0.04514	211	"Alberta"
"HA*"	0.03201334	0.02155	0.04247	36	"Canada"
"FL.4*"	0.03191006	0.02384	0.03998	126	"Ontario"
"FY.2"	0.03185729	0.02046	0.04325	30	"Canada"
"XBB.2.3*"	0.03165068	0.02489	0.03841	169	"Ontario"
"XBB.1.16*"	0.03159374	0.02616	0.03703	444	"Quebec"
"CH.1.1*"	0.03132297	0.00952	0.05313	25	"British Columbia"
"HR*"	0.0311992	0.0163	0.04609	26	"Quebec"
"XBB.1.16.12"	0.03119819	0.01582	0.04658	16	"Canada"
